Designator,Mid X,Mid Y,Layer,Rotation
C1,7 ,0,TOP,90
C2,19 ,0,TOP,270
C3,-4 ,8,TOP,180
C4,6.3 ,19,TOP,270
C5,-0.7 ,23.8,TOP,90
C8,-24 ,29.5,TOP,180
C9,30 ,17,TOP,180
C10,30 ,24,TOP,180
D1,16.8 ,9.5,TOP,0
D2,-4 ,6,TOP,180
D3,16.8 ,7.5,TOP,0
D4,-1 ,-7,TOP,270
IC1,13 ,-1,TOP,90
R1,8.4 ,19,TOP,90
R2,33.66 ,24,TOP,270
S1,-19 ,16,TOP,0
S2,-19 ,10,TOP,0
U1,0 ,15,TOP,180
Y1,2.6 ,23,TOP,180
IC2,32 ,20,TOP,270
LED1,-27.5 ,24.8,TOP,0
LED2,-10.1 ,16.4,TOP,180
R3,-24 ,26.9,TOP,0
R4,-24 ,24.8,TOP,0
R5,-10.1 ,14.7,TOP,0
S5,24 ,18,TOP,180
BAT1,-19 ,-11,TOP,90